temperature
30.1
30.4
29.6
30.8
29.9
29.9
30
29.2
29.9
29.6
30
30.5
30.3
29.9
29.6
29.3
29.2
30
30.4
30.9
30.9
31.2
31.5
29.9
31.3
30.2
30.2
31.1
29.9
30.6
29.8
29.8
30.2
30.1
31.1
30.3
30.4
29.4
29.8
29.8
29.9
29.6
30.4
29.5
30.3
30.1
30.3
30.4
30.2
30.5
